id,name,segment,address,city,region,phone,email,website,target_type,current_signal,why_not_in_master_yet,next_step,source_1,source_2,source_note
miami-pallets,Miami Pallets,pallet transport candidate,,Miami,South Florida,,,https://miami-pallets.com/transport,verification-target,"Official transport pages describe forklift-equipped vehicles, moffett-equipped rigs, GPS tracking, insured deliveries, and tri-county to Central Florida coverage","Contact page shows mixed identity signals including an Austin, TX footer, so the company needs direct phone verification before it can enter the master carrier list",Call the main line from the official contact page and confirm legal entity, broker setup acceptance, and whether transport is for-hire beyond pallet sales,https://miami-pallets.com/transport,https://miami-pallets.com/contact,"Promising lead, but identity consistency is not clean enough yet"
mercedes-electric-supply,CED Mercedes Electric Supply,private fleet / overflow target,,Hialeah,South Florida,,,https://mercedeselectric.com/about-us/delivery-fleet-services/,private-fleet-target,"Official fleet page shows a 30' flatbed with Donkey Lift and 5,000 lb all-terrain forklift","Looks like a shipper private fleet rather than a public for-hire carrier",Call to ask whether they ever haul overflow or dedicated third-party freight,https://mercedeselectric.com/about-us/delivery-fleet-services/,,Excellent equipment signal but weak for-hire signal
capitol-materials-coastal,Capitol Materials Coastal,private fleet / overflow target,,Jacksonville,North Florida,,,https://cmcoastal.com/s/content/secmcoastal_faqs,private-fleet-target,"Official FAQ says fleet includes flatbeds, boom trucks, and portable forklifts for jobsite delivery","Company reads as GMS-owned building-material distributor fleet, not a stand-alone carrier",Phone-verify whether they outsource capacity or ever haul for outside accounts,https://cmcoastal.com/s/content/secmcoastal_faqs,https://cmcoastal.com/spcu/contact,"Useful Jacksonville signal for equipment usage, but not enough to count as carrier"
blue-sky-metals,Blue Sky Metals,private fleet / overflow target,"2204 20th St E, Palmetto, FL 34221",Palmetto,West Florida,"(813) 703-2583",office@bluesky-metals.com,https://www.bluesky-metals.com/job-site-delivery,private-fleet-target,"Official job-site delivery page says most trailers have mounts for piggyback forklifts and shows piggyback/truck-mounted forklift imagery","This is a rebar fabricator and delivery fleet, not clearly a for-hire carrier",Call to ask whether they ever backhaul or support outside freight,https://www.bluesky-metals.com/job-site-delivery,,Very strong piggyback signal but still shipper-led
cornerstone-building-brands,Cornerstone Building Brands,private fleet / recruiting signal,,Jacksonville,North Florida,,,https://jobs.cornerstonebuildingbrands.com/job/cdl-class-a-driver-in-jacksonville-fl-jid-3650,private-fleet-target,"Official CDL posting requires loading and unloading with a Manitou or Moffett and operating a trailer-mounted forklift","This is a manufacturer fleet job posting, not a public carrier service page",Use as proof that North Florida suppliers are running Moffett-capable fleets and mine similar manufacturers,https://jobs.cornerstonebuildingbrands.com/job/cdl-class-a-driver-in-jacksonville-fl-jid-3650,,Good discovery clue for the region
wahoo-delivery-corp,Wahoo Delivery Corp,unverified carrier lead,,North Miami,South Florida,,, ,discard,"Classified lead claimed truck-mounted forklift / Princeton / Moffett delivery","No clean official website or current stable company identity was found, so this stays out of the master list",Discard unless a current official site or direct phone verification ties the operation to an active for-hire entity,,,Good example of why classified-only leads should not enter the master list
gator-gypsum,Gator Gypsum,private fleet / overflow target,"3904 E Adamo Dr, Tampa, FL 33605",Tampa,West / Central Florida,"(813) 248-6393",,https://gatorgypsum.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a building-products distributor fleet, not a confirmed for-hire carrier",Call Tampa yard to ask whether they ever haul overflow, dedicated loads, or intercompany moves for outside brokered freight,https://partnersinsupply.com/delivery-services/,https://gatorgypsum.com/locations/,"Strong Tampa Bay call target because the equipment mix is public and jobsite-focused"
kimco-supply-company,Kimco Supply Company,private fleet / overflow target,"7810 Professional Pl, Tampa, FL 33637",Tampa,West / Central Florida,"(813) 443-0791",,https://kimcosupply.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a distributor fleet, not a confirmed for-hire carrier",Call Tampa branch to confirm whether they ever use dedicated outside hauling or brokered overflow,https://partnersinsupply.com/delivery-services/,https://kimcosupply.com/locations/,"Strong Tampa Bay call target with explicit portable-forklift signal"
rs-elliott-specialty-supply,R.S. Elliott Specialty Supply,private fleet / overflow target,"2702 Airport Rd, Plant City, FL 33563",Plant City,West / Central Florida,"(813) 719-3625",,https://rselliott.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a specialty-building-products distributor, not a confirmed for-hire carrier",Call Plant City branch to confirm whether they ever haul overflow or support outside contractor / branch moves,https://partnersinsupply.com/delivery-services/,https://rselliott.com/locations/,"Very relevant for Tampa and I-4 corridor jobsite freight"
construction-supply-swfl,Construction Supply of Southwest Florida,private fleet / overflow target,"2223 12th St, Sarasota, FL 34237",Sarasota,West / Central Florida,"(941) 366-2322",,https://constructionsupplyswfl.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a regional distributor fleet, not a confirmed for-hire carrier",Call Sarasota branch to ask whether they ever use outside transport or dedicated support on peak jobs,https://partnersinsupply.com/delivery-services/,https://constructionsupplyswfl.com/locations/,"Strong west-coast Florida target with explicit portable-forklift signal"
