id,name,segment,address,city,region,phone,email,website,target_type,current_signal,why_not_in_carrier_targets,next_step,source_1,source_2,source_note
mercedes-electric-supply,CED Mercedes Electric Supply,private fleet / overflow target,,Hialeah,South Florida,,,https://mercedeselectric.com/about-us/delivery-fleet-services/,private-fleet-target,"Official fleet page shows a 30' flatbed with Donkey Lift and 5,000 lb all-terrain forklift","Looks like a shipper private fleet rather than a public for-hire carrier",Call only if you want overflow-fleet intelligence or to ask whether they ever outsource capacity,https://mercedeselectric.com/about-us/delivery-fleet-services/,,Excellent equipment signal but weak broker-use signal
capitol-materials-coastal,Capitol Materials Coastal,private fleet / overflow target,,Jacksonville,North Florida,,,https://cmcoastal.com/s/content/secmcoastal_faqs,private-fleet-target,"Official FAQ says fleet includes flatbeds, boom trucks, and portable forklifts for jobsite delivery","Company reads as GMS-owned building-material distributor fleet, not a stand-alone carrier",Use for market intelligence, not for the broker carrier sheet,https://cmcoastal.com/s/content/secmcoastal_faqs,https://cmcoastal.com/spcu/contact,"Useful Jacksonville equipment signal, but not a carrier target"
blue-sky-metals,Blue Sky Metals,private fleet / overflow target,"2204 20th St E, Palmetto, FL 34221",Palmetto,West Florida,"(813) 703-2583",office@bluesky-metals.com,https://www.bluesky-metals.com/job-site-delivery,private-fleet-target,"Official job-site delivery page says most trailers have mounts for piggyback forklifts and shows piggyback / truck-mounted forklift imagery","This is a rebar fabricator and delivery fleet, not clearly a for-hire carrier",Keep as a shipper / fleet-intel target rather than a carrier,https://www.bluesky-metals.com/job-site-delivery,,Very strong piggyback signal but still shipper-led
cornerstone-building-brands,Cornerstone Building Brands,private fleet / recruiting signal,,Jacksonville,North Florida,,,https://jobs.cornerstonebuildingbrands.com/job/cdl-class-a-driver-in-jacksonville-fl-jid-3650,private-fleet-target,"Official CDL posting requires loading and unloading with a Manitou or Moffett and operating a trailer-mounted forklift","This is a manufacturer fleet job posting, not a public carrier service page",Use as proof of regional equipment usage and for adjacent lead-mining,https://jobs.cornerstonebuildingbrands.com/job/cdl-class-a-driver-in-jacksonville-fl-jid-3650,,Good North Florida clue but not a carrier
gator-gypsum,Gator Gypsum,private fleet / overflow target,"3904 E Adamo Dr, Tampa, FL 33605",Tampa,West / Central Florida,"(813) 248-6393",,https://gatorgypsum.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a building-products distributor fleet, not a confirmed for-hire carrier",Keep as shipper / fleet-intel only,https://partnersinsupply.com/delivery-services/,https://gatorgypsum.com/locations/,"Strong Tampa Bay equipment signal, but not a broker carrier"
kimco-supply-company,Kimco Supply Company,private fleet / overflow target,"7810 Professional Pl, Tampa, FL 33637",Tampa,West / Central Florida,"(813) 443-0791",,https://kimcosupply.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a distributor fleet, not a confirmed for-hire carrier",Keep as shipper / fleet-intel only,https://partnersinsupply.com/delivery-services/,https://kimcosupply.com/locations/,"Strong Tampa Bay equipment signal, but not a broker carrier"
rs-elliott-specialty-supply,R.S. Elliott Specialty Supply,private fleet / overflow target,"2702 Airport Rd, Plant City, FL 33563",Plant City,West / Central Florida,"(813) 719-3625",,https://rselliott.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a specialty-building-products distributor, not a confirmed for-hire carrier",Keep as shipper / fleet-intel only,https://partnersinsupply.com/delivery-services/,https://rselliott.com/locations/,"Relevant to Tampa and I-4 corridor, but not a carrier"
construction-supply-swfl,Construction Supply of Southwest Florida,private fleet / overflow target,"2223 12th St, Sarasota, FL 34237",Sarasota,West / Central Florida,"(941) 366-2322",,https://constructionsupplyswfl.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a regional distributor fleet, not a confirmed for-hire carrier",Keep as shipper / fleet-intel only,https://partnersinsupply.com/delivery-services/,https://constructionsupplyswfl.com/locations/,"Strong west-coast Florida equipment signal, but not a carrier"
olympia-building-supplies,Olympia Building Supplies,private fleet / overflow target,"8300 LTC Pkwy, Port St. Lucie, FL 34986",Port St. Lucie,Treasure Coast / Central Florida,"(772) 252-4330",,https://olympiabuildingsupplies.com,private-fleet-target,"Official delivery page says the fleet includes boom trucks, flatbeds, semi-tractors and portable forklifts for scheduled and after-hours deliveries","This is a building-products distributor fleet, not a confirmed for-hire carrier",Keep as shipper / fleet-intel only,https://partnersinsupply.com/delivery-services/,https://olympiabuildingsupplies.com/locations/,"Useful Treasure Coast equipment signal, but not a carrier"
fbm-tampa,FBM Tampa,private fleet / direct-jobsite target,"6001 Orient Rd, Tampa, FL 33610",Tampa,West Florida,"(813) 242-8800",,https://locations.fbmsales.com/fl/tampa/6001-orient-road,private-fleet-target,"Official branch page says FBM Tampa provides jobsite delivery and stocking services across Tampa, St. Petersburg, Clearwater, Brandon and Lakeland","No explicit forklift signal was found, and this is a branch-level shipper fleet rather than a carrier",Keep for shipper outreach and fleet-intel only,https://locations.fbmsales.com/fl/tampa/6001-orient-road,,Good Tampa Bay shipper lead, not a carrier
construction-equipment-inc,Construction Equipment Inc.,private fleet / direct-jobsite target,"711 Jeffords St, Clearwater, FL 33756",Clearwater,West Florida,"(727) 441-3850",cei@constructionequipmentinc.com,https://www.constructionequipmentinc.com,private-fleet-target,"Official site says the company delivers scaffolding and scaffold accessories to the job site","No explicit forklift signal was found, and this is a scaffold supplier / rental delivery operation rather than a carrier",Keep for shipper outreach and fleet-intel only,https://www.constructionequipmentinc.com/about-us/,https://www.constructionequipmentinc.com/contact/,"Relevant Tampa Bay jobsite-delivery business, but not a broker carrier"
