company_id,company_name,branch_name,address,city,region,phone,email,website,services,verification_status,source
jm-scaffolds-florida,J & M Scaffolds of Florida,Miami-Dade Branch,"11050 NW 36th Ave, Miami, FL 33167",Miami,South Florida,"(305) 687-9200",,https://jandmscaffolds.com/locations/miami-dade/,"Scaffold rental; suspended scaffolds; sidewalk canopies",verified,https://jandmscaffolds.com/locations/miami-dade/
jm-scaffolds-florida,J & M Scaffolds of Florida,Broward Branch,"3761 SW 47th Ave, Davie, FL 33314",Davie,South Florida,"(954) 322-7460",,https://jandmscaffolds.com/locations/broward/,"Scaffold rental; suspended scaffolds; sidewalk canopies",verified,https://jandmscaffolds.com/locations/broward/
jm-scaffolds-florida,J & M Scaffolds of Florida,Palm Beach Branch,"1641 N Military Trl, West Palm Beach, FL 33409",West Palm Beach,South Florida,"(561) 686-7460",,https://jandmscaffolds.com/locations/palm-beach/,"Scaffold rental; suspended scaffolds; sidewalk canopies",verified,https://jandmscaffolds.com/locations/palm-beach/
jm-scaffolds-florida,J & M Scaffolds of Florida,Monroe Branch,"99551 Overseas Hwy, Key Largo, FL 33037",Key Largo,Florida Keys,"(305) 451-7460",,https://jandmscaffolds.com/locations/monroe/,"Scaffold rental; suspended scaffolds; sidewalk canopies",verified,https://jandmscaffolds.com/locations/monroe/
able-scaffold,Able Scaffold,Miami Branch,"3901 NW 115 Ave, Miami, FL 33178",Miami,South Florida,"(305) 888-2753",sales@ablescaffold.com,https://ablescaffold.com/contact-us,"Scaffold rental; hoists; trash chutes",verified,https://ablescaffold.com/contact-us
able-scaffold,Able Scaffold,Fort Myers Branch,"16190 Lee Rd, Unit 200, Fort Myers, FL 33912",Fort Myers,Southwest Florida,"(239) 210-5869",sales@ablescaffold.com,https://ftmyersscaffold.com/,"Scaffold rental and project support",verified,https://ftmyersscaffold.com/
able-scaffold,Able Scaffold,Orlando Service Area,"Orlando metro service area",Orlando,Central Florida,,sales@ablescaffold.com,https://orlandoscaffold.com/,"Scaffold rental and project support",partial,https://orlandoscaffold.com/
contractors-access-equipment,Contractors Access Equipment / Florida Scaffolding,South Florida Branch,"3685 W Oakland Park Blvd, Lauderdale Lakes, FL 33311",Lauderdale Lakes,South Florida,"(954) 792-8690",,https://floridascaffolding.com/contact-us/,"Scaffold rental; shoring; mast climbers; temporary fencing",verified,https://floridascaffolding.com/contact-us/
contractors-access-equipment,Contractors Access Equipment / Florida Scaffolding,Orlando Branch,"1610 N Goldenrod Rd, Orlando, FL 32807",Orlando,Central Florida,"(407) 381-7510",,https://orlandoscaffolding.com/contact-us/,"Scaffold rental; shoring; mast climbers; temporary fencing",verified,https://orlandoscaffolding.com/contact-us/
contractors-access-equipment,Contractors Access Equipment / Florida Scaffolding,Tampa Branch,"1851 Massaro Blvd, Tampa, FL 33619",Tampa,West Florida,"(813) 621-7270",,https://tampascaffolding.com/contact-us/,"Scaffold rental; shoring; mast climbers; temporary fencing",verified,https://tampascaffolding.com/contact-us/
contractors-access-equipment,Contractors Access Equipment / Florida Scaffolding,Naples / Fort Myers Branch,"10880 Metro Pkwy, Unit 1, Fort Myers, FL 33966",Fort Myers,Southwest Florida,"(239) 768-5538",,https://naplesscaffolding.com/contact-us/,"Scaffold rental; shoring; mast climbers; temporary fencing",verified,https://naplesscaffolding.com/contact-us/
scaffold-usa,Scaffold USA,Mount Dora Branch,"811 N Highland St, Mount Dora, FL 32757",Mount Dora,Central Florida,"(352) 383-5767",dustin@scaffoldusa.com,https://scaffoldusa.com/contact-us,"Scaffold manufacturing; rental; sales",verified,https://scaffoldusa.com/contact-us
scaffold-usa,Scaffold USA,Ocala Warehouse,"5150 N US Hwy 441, Ocala, FL 34475",Ocala,Central / North Florida,"(352) 867-0999",,https://scaffoldusa.com/contact-us,"Warehouse and scaffold support",verified,https://scaffoldusa.com/contact-us
brandsafway-florida,BrandSafway,Apopka Branch,"2606 Clark St, Apopka, FL 32703",Apopka,Central Florida,"(407) 889-0050",,https://brandsafway.com/location/apopka-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/apopka-fl
brandsafway-florida,BrandSafway,Fort Myers Branch,"5610 Enterprise Pkwy, Fort Myers, FL 33905",Fort Myers,Southwest Florida,"(239) 694-4884",,https://brandsafway.com/location/fort-myers-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/fort-myers-fl
brandsafway-florida,BrandSafway,Jacksonville Branch,"840 Ellis Rd N, Jacksonville, FL 32254",Jacksonville,North Florida,"(904) 781-3330",,https://brandsafway.com/location/jacksonville-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/jacksonville-fl
brandsafway-florida,BrandSafway,Miami Branch,"12900 NW 38th Ave, Opa-Locka, FL 33054",Opa-Locka,South Florida,"(305) 687-1100",,https://brandsafway.com/location/opa-locka-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/opa-locka-fl
brandsafway-florida,BrandSafway,Orlando Branch,"3650 Silver Star Rd, Orlando, FL 32808",Orlando,Central Florida,"(407) 292-4660",,https://brandsafway.com/location/orlando-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/orlando-fl
brandsafway-florida,BrandSafway,Tampa Branch,"4002 Causeway Blvd, Tampa, FL 33619",Tampa,West Florida,"(813) 623-3741",,https://brandsafway.com/location/tampa-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/tampa-fl
brandsafway-florida,BrandSafway,West Palm Beach Branch,"1710 Latham Rd, West Palm Beach, FL 33409",West Palm Beach,South Florida,"(561) 844-5521",,https://brandsafway.com/location/west-palm-beach-fl,"Scaffold and industrial services",verified,https://brandsafway.com/location/west-palm-beach-fl
sunstate-scaffold-services,Sunstate Scaffold Services,Tampa Branch,"4301 N 40th St, Tampa, FL 33610",Tampa,West Florida,"(813) 304-2450",,https://sunstateequip.com/scaffold-services/,"Scaffold; shoring; barriers; temporary fences",verified,https://sunstateequip.com/scaffold-services/
rpc-group,RPC Group,Ocala Branch,"4900 W Anthony Rd, Ocala, FL 34475",Ocala,Central / North Florida,"(352) 369-2525",sales@rpc.net,https://rpc.net/contact/,"Scaffold; mast climbers; shoring; debris chutes",verified,https://rpc.net/contact/
